abandon,放弃
ability,能力
able,有能力的
about,关于
above,多于
absent,缺席的
absorb,吸收
abstract,抽象的
absurd,荒诞
abuse,滥用
access,使用权
accident,事故
account,帐户
accuse,控
achieve,达到
acid,酸
acoustic,声学
acquire,获得
across,穿过
act,行为
action,行动
actor,演员
actress,演员
actual,实际的
adapt,适应
add,添加
addict,瘾君子
address,地址
adjust,调整
admit,承认
adult,成人
advance,进步
advice,建议
aerobic,有氧
affair,事务
afford,买得起
afraid,害怕的
again,再次
age,年龄
agent,代理人
agree,同意
ahead,前方
aim,目的
air,空气
airport,飞机场
aisle,走道
alarm,警报
album,专辑
alcohol,酒精
alert,警报
alien,外星人
all,全部
alley,胡同
allow,允许
almost,几乎
alone,独自的
alpha,阿尔法
already,已经
also,还
alter,改变
always,总是
amateur,业余
amazing,惊人的
among,之中
amount,数量
amused,有趣
analyst,分析师
anchor,锚
ancient,古老的
anger,愤怒
angle,角度
angry,生气的
animal,动物
ankle,踝
announce,宣布
annual,年度的
another,其他
answer,回答
antenna,天线
antique,古董
anxiety,焦虑
any,任何
apart,分开
apology,道歉
appear,出现
apple,苹果
approve,批准
april,四月
arch,拱
arctic,北极
area,区域
arena,竞技场
argue,争论
arm,手臂
armed,武装
armor,盔甲
army,军队
around,大约
arrange,安排
arrest,逮捕
arrive,到达
arrow,箭
art,艺术
artefact,人工制品
artist,艺术家
artwork,艺术品
ask,问
aspect,方面
assault,突击
asset,资产
assist,协助
assume,认为
asthma,哮喘
athlete,运动员
atom,原子
attack,攻击
attend,出席
attitude,态度
attract,吸引
auction,拍卖
audit,审计
august,八月
aunt,阿姨
author,作者
auto,汽车
autumn,秋天
average,平均的
avocado,牛油果
avoid,避免
awake,醒
aware,意识到的
away,离开
awesome,惊人的
awful,可怕
awkward,尴尬的
axis,轴
baby,婴儿
bachelor,学士
bacon,熏肉
badge,徽章
bag,包
balance,平衡
balcony,阳台
ball,球
bamboo,竹子
banana,香蕉
banner,横幅
bar,酒吧
barely,仅仅
bargain,便宜货
barrel,桶
base,根据
basic,基本的
basket,篮子
battle,战斗
beach,海滩
bean,豆
beauty,美丽
because,因为
become,变得
beef,牛肉
before,前
begin,开始
behave,表现
behind,在后面
believe,相信
below,以下
belt,腰带
bench,长椅
benefit,益处
best,最好的
betray,背叛
better,更好的
between,之间
beyond,超过
bicycle,自行车
bid,出价
bike,自行车
bind,绑定
biology,生物学
bird,鸟
birth,出生
bitter,苦的
black,黑色的
blade,刀刃
